incident_custom_description
Я Терминатор
Котятки спасут этот мир
Где я\, кто я\, зачем я здесь
Че\, рандом пацаны
Мы несем демократию\, не бойтесь нас
Ленин - отец Русской демократии
А у Трампа парик
PerformanceLab забряли мой паспорт\, помогите
Врот мне тапки\, It's Alive
Кто-то постоянно съедает съедает мои печеньки
Говорил мне прапор\, круглое нести\, а квадратное катить
Я был такой крутой капитан разведки\, что даже собаки меня принимали за древно
Если объект содержит метод моргания\, значит он типа Лицо
Шрек признайся\, это ты съел мои печеньки
Сижу я в окопе\, и пукнуть нельзя
В разгаре боя\, главное не отвлекать пулеметчиков
Спасибо мне\, моей собаке\, коту\, жене\, и детям\, которые поддерживали во время написания этого текста
Альянс рулит\, Орда сосед
